,movie_image,movie_name,movie_year,certificate,movie_duration,genre,movie_status,rating,rating_metascore,movie_description,cast_detail,movie_votes_detail
20,"https://m.media-amazon.com/images/M/MV5BZTNiNDA4NmMtNTExNi00YmViLWJkMDAtMDAxNmRjY2I2NDVjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Transformers: Rise of the Beasts,(2023),,117 min,"Action, Adventure, Sci-Fi",Completed,,,Plot unknown. Reportedly based on the 'Transformers' spinoff 'Beast Wars' which feature robots that transform into robotic animals.,"Director: Steven Caple Jr. | Stars: Pete Davidson, Michelle Yeoh, Ron Perlman, Peter Dinklage",
21,"https://m.media-amazon.com/images/M/MV5BMTAxMGRmODYtM2NkYS00ZGRlLWE1MWItYjI1MzIwNjQwN2RiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Meg,(2018),PG-13,113 min,"Action, Horror, Sci-Fi",,5.6,46 Metascore,A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,"Director: Jon Turteltaub | Stars: Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis","Votes: 179,684 | Gross: $143.01M"
22,"https://m.media-amazon.com/images/M/MV5BNjNlYzNhMTgtYTFlYi00ZDg4LWIwMGItZWU2OTY1NTk4MDdlXkEyXkFqcGdeQXVyMTYyMTYyOTcw._V1_UX67_CR0,0,67,98_AL_.jpg",Knights of the Zodiac,(2023),PG-13,112 min,"Action, Adventure, Drama",,4.6,34 Metascore,"When a goddess of war reincarnates in the body of a young girl, street orphan Seiya discovers that he is destined to protect her and save the world. But only if he can face his own past and become a Knight of the Zodiac.","Director: Tomasz Baginski | Stars: Mackenyu, Famke Janssen, Madison Iseman, Diego Tinoco","Votes: 2,583"
23,"https://m.media-amazon.com/images/M/MV5BNjcxOTJhZTEtMWFiYi00NTkwLTlkMzktZDQwMGQ0ZjM3YWU2XkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_UX67_CR0,0,67,98_AL_.jpg",Operation Fortune: Ruse de Guerre,(2023),R,114 min,"Action, Comedy, Thriller",,6.3,51 Metascore,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"Director: Guy Ritchie | Stars: Jason Statham, Aubrey Plaza, Cary Elwes, Hugh Grant","Votes: 52,985"
24,"https://m.media-amazon.com/images/M/MV5BMGE1NWZkZGMtMjEzYi00NDUwLTgzNmYtMGY4ZDhjNWMxZjVhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Hunger Games: The Ballad of Songbirds and Snakes,(2023),,,"Action, Adventure, Drama",Post-production,,,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,"Director: Francis Lawrence | Stars: Rachel Zegler, Hunter Schafer, Viola Davis, Tom Blyth",
25,"https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_UY98_CR0,0,67,98_AL_.jpg",Everything Everywhere All at Once,(2022),R,139 min,"Action, Adventure, Comedy",,7.8,81 Metascore,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.,"Directors: Daniel Kwan, Daniel Scheinert | Stars: Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan","Votes: 444,964 | Gross: $72.86M"
26,"https://m.media-amazon.com/images/M/MV5BNmNmNWNiMjUtZmYyMC00OWVhLThmMTItNjkxYzU4Yzk2NTdlXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Hypnotic,(2023),R,93 min,"Action, Mystery, Thriller",,5.6,53 Metascore,A detective investigates a mystery involving his missing daughter and a secret government program.,"Director: Robert Rodriguez | Stars: Ben Affleck, Alice Braga, JD Pardo, Dayo Okeniyi","Votes: 1,906"
27,"https://m.media-amazon.com/images/M/MV5BZWYzOGEwNTgtNWU3NS00ZTQ0LWJkODUtMmVhMjIwMjA1ZmQwXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX67_CR0,0,67,98_AL_.jpg",Top Gun: Maverick,(2022),PG-13,130 min,"Action, Drama",,8.3,78 Metascore,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Director: Joseph Kosinski | Stars: Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer","Votes: 585,264 | Gross: $718.73M"
28,"https://m.media-amazon.com/images/M/MV5BNzJlM2NmZTItOGQyYS00MmE2LTkwZGUtNDFkNmJmZjRjZjcxXkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_UX67_CR0,0,67,98_AL_.jpg",Shazam! Fury of the Gods,(2023),PG-13,130 min,"Action, Adventure, Comedy",,6.0,47 Metascore,"The film continues the story of teenage Billy Batson who, upon reciting the magic word ""SHAZAM!"" is transformed into his adult Super Hero alter ego, Shazam.","Director: David F. Sandberg | Stars: Zachary Levi, Asher Angel, Jack Dylan Grazer, Rachel Zegler","Votes: 68,639"
29,"https://m.media-amazon.com/images/M/MV5BMDU2ZmM2OTYtNzIxYy00NjM5LTliNGQtN2JmOWQzYTBmZWUzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Bullet Train,(2022),R,127 min,"Action, Comedy, Thriller",,7.3,49 Metascore,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"Director: David Leitch | Stars: Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry","Votes: 355,783 | Gross: $103.37M"
